OriginalExplanation,TurkishExplanation,Description,OID,Unit,ValueType,Min,Maks,DeviceModelID,CollectorUpdate
?,?,,1.3.6.1.4.1.21111.1.1.6.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.6.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.6.3.1.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.6.3.1.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.6.3.1.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.6.3.1.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.6.3.1.5.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.7.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.7.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.7.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.7.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.8.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.8.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.8.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.8.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.8.5.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.8.6.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.8.7.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.8.8.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.8.9.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.8.10.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.9.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.10.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.10.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.10.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.10.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.10.5.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.1.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.2.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.3.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.4.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.5.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.6.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.7.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.8.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.9.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.10.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.11.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.12.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.13.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.14.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.15.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.16.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.17.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.18.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.19.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.20.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.21.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.22.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.23.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.24.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.25.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.26.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.27.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.28.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.29.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.30.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.31.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.32.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.33.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.34.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.35.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.36.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.37.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.38.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.39.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.40.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.41.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.42.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.43.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.44.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.45.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.46.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.47.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.48.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.45.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.46.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.47.0,,2,,,,
?,?,,1.3.6.1.4.1.21111.1.1.11.48.0,,2,,,,
